"country","eu","order","item","option","year","val"
"Україна","no","1","Пенсії","old","2007","3.6"
"Україна","no","1","Соціальний захист","soc","2007","3.1"
"Україна","no","1","Безпека і оборона","def","2008","4.1"
"Україна","no","1","Відсотки за борг","deb","2008","0.4"
"Україна","no","1","Всього","ttl","2008","32.6"
"Україна","no","1","Державна служба","cle","2008","2.8"
"Україна","no","1","Дороги і ЖКГ","hou","2008","2.4"
"Україна","no","1","Медицина","med","2008","3.5"
"Україна","no","1","Освіта","edu","2008","6.4"
"Україна","no","1","Пенсії","old","2008","4.5"
"Україна","no","1","Соціальний захист","soc","2008","3.3"
"Україна","no","1","Безпека і оборона","def","2009","3.8"
"Україна","no","1","Відсотки за борг","deb","2009","1.1"
"Україна","no","1","Всього","ttl","2009","33.6"
"Україна","no","1","Державна служба","cle","2009","2.6"
"Україна","no","1","Дороги і ЖКГ","hou","2009","2.3"
"Україна","no","1","Медицина","med","2009","4"
"Україна","no","1","Освіта","edu","2009","7.3"
"Україна","no","1","Пенсії","old","2009","5.5"
"Україна","no","1","Соціальний захист","soc","2009","3.1"
"Україна","no","1","Безпека і оборона","def","2010","3.7"
"Україна","no","1","Відсотки за борг","deb","2010","1.5"
"Україна","no","1","Всього","ttl","2010","34.9"
"Україна","no","1","Державна служба","cle","2010","2.6"
"Україна","no","1","Дороги і ЖКГ","hou","2010","1.9"
"Україна","no","1","Медицина","med","2010","4.1"
"Україна","no","1","Освіта","edu","2010","7.4"
"Україна","no","1","Пенсії","old","2010","6.2"
"Україна","no","1","Соціальний захист","soc","2010","3.5"
"Україна","no","1","Безпека і оборона","def","2011","3.5"
"Україна","no","1","Відсотки за борг","deb","2011","1.8"
"Україна","no","1","Всього","ttl","2011","32"
"Україна","no","1","Державна служба","cle","2011","2"
"Україна","no","1","Дороги і ЖКГ","hou","2011","2.1"
"Україна","no","1","Медицина","med","2011","3.8"
"Україна","no","1","Освіта","edu","2011","6.6"
"Україна","no","1","Пенсії","old","2011","4.7"
"Україна","no","1","Соціальний захист","soc","2011","3.4"
"Україна","no","1","Безпека і оборона","def","2012","3.6"
"Україна","no","1","Відсотки за борг","deb","2012","1.8"
"Україна","no","1","Всього","ttl","2012","34.9"
"Україна","no","1","Державна служба","cle","2012","2.1"
"Україна","no","1","Дороги і ЖКГ","hou","2012","2.6"
"Україна","no","1","Медицина","med","2012","4.1"
"Україна","no","1","Освіта","edu","2012","7.2"
"Україна","no","1","Пенсії","old","2012","4.8"
"Україна","no","1","Соціальний захист","soc","2012","4"
"Україна","no","1","Безпека і оборона","def","2013","3.7"
"Україна","no","1","Відсотки за борг","deb","2013","2.3"
"Україна","no","1","Всього","ttl","2013","34.9"
"Україна","no","1","Державна служба","cle","2013","2"
"Україна","no","1","Дороги і ЖКГ","hou","2013","1.7"
"Україна","no","1","Медицина","med","2013","4.2"
"Україна","no","1","Освіта","edu","2013","7.3"
"Україна","no","1","Пенсії","old","2013","6"
"Україна","no","1","Соціальний захист","soc","2013","4"
"Україна","no","1","Безпека і оборона","def","2014","4.6"
"Україна","no","1","Відсотки за борг","deb","2014","3.2"
"Україна","no","1","Всього","ttl","2014","33.4"
"Україна","no","1","Державна служба","cle","2014","1.7"
"Україна","no","1","Дороги і ЖКГ","hou","2014","2.3"
"Україна","no","1","Медицина","med","2014","3.6"
"Україна","no","1","Освіта","edu","2014","6.4"
"Україна","no","1","Пенсії","old","2014","5.1"
"Україна","no","1","Соціальний захист","soc","2014","3.7"
"Болгарія","new","2","Безпека і оборона","def","1995",""
"Болгарія","new","2","Відсотки за борг","deb","1995",""
"Болгарія","new","2","Всього","ttl","1995",""
"Болгарія","new","2","Державна служба","cle","1995",""
"Болгарія","new","2","Дороги і ЖКГ","hou","1995",""
"Болгарія","new","2","Медицина","med","1995",""
"Болгарія","new","2","Освіта","edu","1995",""
"Болгарія","new","2","Пенсії","old","1995",""
"Болгарія","new","2","Соціальний захист","soc","1995",""
"Болгарія","new","2","Безпека і оборона","def","1996",""
"Болгарія","new","2","Відсотки за борг","deb","1996",""
"Болгарія","new","2","Всього","ttl","1996",""
"Болгарія","new","2","Державна служба","cle","1996",""
"Болгарія","new","2","Дороги і ЖКГ","hou","1996",""
"Болгарія","new","2","Медицина","med","1996",""
"Болгарія","new","2","Освіта","edu","1996",""
"Болгарія","new","2","Пенсії","old","1996",""
"Болгарія","new","2","Соціальний захист","soc","1996",""
"Болгарія","new","2","Безпека і оборона","def","1997",""
"Болгарія","new","2","Відсотки за борг","deb","1997",""
"Болгарія","new","2","Всього","ttl","1997",""
"Болгарія","new","2","Державна служба","cle","1997",""
"Болгарія","new","2","Дороги і ЖКГ","hou","1997",""
"Болгарія","new","2","Медицина","med","1997",""
"Болгарія","new","2","Освіта","edu","1997",""
"Болгарія","new","2","Пенсії","old","1997",""
"Болгарія","new","2","Соціальний захист","soc","1997",""
"Болгарія","new","2","Безпека і оборона","def","1998","5"
"Болгарія","new","2","Відсотки за борг","deb","1998","3.7"
"Болгарія","new","2","Всього","ttl","1998","28.6"
"Болгарія","new","2","Державна служба","cle","1998","6.7"
"Болгарія","new","2","Дороги і ЖКГ","hou","1998","2.2"
"Болгарія","new","2","Медицина","med","1998","2.5"
"Болгарія","new","2","Освіта","edu","1998","3.4"
"Болгарія","new","2","Пенсії","old","1998","0.4"
"Болгарія","new","2","Соціальний захист","soc","1998","1"
"Болгарія","new","2","Безпека і оборона","def","1999","5.4"
"Болгарія","new","2","Відсотки за борг","deb","1999","3.6"
"Болгарія","new","2","Всього","ttl","1999","32"
"Болгарія","new","2","Державна служба","cle","1999","7.6"
"Болгарія","new","2","Дороги і ЖКГ","hou","1999","2.4"
"Болгарія","new","2","Медицина","med","1999","3.2"
"Болгарія","new","2","Освіта","edu","1999","4.2"
"Болгарія","new","2","Пенсії","old","1999","0.2"
"Болгарія","new","2","Соціальний захист","soc","1999","1.3"
"Болгарія","new","2","Безпека і оборона","def","2000","5.4"
"Болгарія","new","2","Відсотки за борг","deb","2000","4.1"
"Болгарія","new","2","Всього","ttl","2000","31.6"
"Болгарія","new","2","Державна служба","cle","2000","6.6"
"Болгарія","new","2","Дороги і ЖКГ","hou","2000","2.2"
"Болгарія","new","2","Медицина","med","2000","3.5"
"Болгарія","new","2","Освіта","edu","2000","4.1"
"Болгарія","new","2","Пенсії","old","2000","0.8"
"Болгарія","new","2","Соціальний захист","soc","2000","0.9"
"Болгарія","new","2","Безпека і оборона","def","2001","5.5"
"Болгарія","new","2","Відсотки за борг","deb","2001","4.2"
"Болгарія","new","2","Всього","ttl","2001","32.8"
"Болгарія","new","2","Державна служба","cle","2001","8.3"
"Болгарія","new","2","Дороги і ЖКГ","hou","2001","2.8"
"Болгарія","new","2","Медицина","med","2001","2.5"
"Болгарія","new","2","Освіта","edu","2001","3.7"
"Болгарія","new","2","Пенсії","old","2001","0.1"
"Болгарія","new","2","Соціальний захист","soc","2001","1.9"
"Болгарія","new","2","Безпека і оборона","def","2002","5.2"
"Болгарія","new","2","Відсотки за борг","deb","2002","2.2"
"Болгарія","new","2","Всього","ttl","2002","33.6"
"Болгарія","new","2","Державна служба","cle","2002","10.7"
"Болгарія","new","2","Дороги і ЖКГ","hou","2002","2.4"
"Болгарія","new","2","Медицина","med","2002","3.4"
"Болгарія","new","2","Освіта","edu","2002","3.8"
"Болгарія","new","2","Пенсії","old","2002","0.1"
"Болгарія","new","2","Соціальний захист","soc","2002","2.5"
"Болгарія","new","2","Безпека і оборона","def","2003","5.2"
"Болгарія","new","2","Відсотки за борг","deb","2003","2.2"
"Болгарія","new","2","Всього","ttl","2003","33.4"
"Болгарія","new","2","Державна служба","cle","2003","8.1"
"Болгарія","new","2","Дороги і ЖКГ","hou","2003","2.9"
"Болгарія","new","2","Медицина","med","2003","3.9"
"Болгарія","new","2","Освіта","edu","2003","4.2"
"Болгарія","new","2","Пенсії","old","2003","0.2"
"Болгарія","new","2","Соціальний захист","soc","2003","2"
"Болгарія","new","2","Безпека і оборона","def","2004","4.4"
"Болгарія","new","2","Відсотки за борг","deb","2004","1.8"
"Болгарія","new","2","Всього","ttl","2004","32.9"
"Болгарія","new","2","Державна служба","cle","2004","9.6"
"Болгарія","new","2","Дороги і ЖКГ","hou","2004","2.7"
"Болгарія","new","2","Медицина","med","2004","4.5"
"Болгарія","new","2","Освіта","edu","2004","4"
"Болгарія","new","2","Пенсії","old","2004","0.2"
"Болгарія","new","2","Соціальний захист","soc","2004","1.2"
"Болгарія","new","2","Безпека і оборона","def","2005","4.6"
"Болгарія","new","2","Відсотки за борг","deb","2005","1.5"
"Болгарія","new","2","Всього","ttl","2005","31.4"
"Болгарія","new","2","Державна служба","cle","2005","9.4"
"Болгарія","new","2","Дороги і ЖКГ","hou","2005","3"
"Болгарія","new","2","Медицина","med","2005","3.7"
"Болгарія","new","2","Освіта","edu","2005","4.1"
"Болгарія","new","2","Пенсії","old","2005","0.4"
"Болгарія","new","2","Соціальний захист","soc","2005","1.1"
"Болгарія","new","2","Безпека і оборона","def","2006","4.2"
"Болгарія","new","2","Відсотки за борг","deb","2006","1.3"
"Болгарія","new","2","Всього","ttl","2006","30.4"
"Болгарія","new","2","Державна служба","cle","2006","9.9"
"Болгарія","new","2","Дороги і ЖКГ","hou","2006","3"
"Болгарія","new","2","Медицина","med","2006","2.7"
"Болгарія","new","2","Освіта","edu","2006","3.6"
"Болгарія","new","2","Пенсії","old","2006","0.2"
"Болгарія","new","2","Соціальний захист","soc","2006","1.8"
"Болгарія","new","2","Безпека і оборона","def","2007","4.2"
"Болгарія","new","2","Відсотки за борг","deb","2007","1.1"
"Болгарія","new","2","Всього","ttl","2007","34.7"
"Болгарія","new","2","Державна служба","cle","2007","13"
"Болгарія","new","2","Дороги і ЖКГ","hou","2007","4.5"
"Болгарія","new","2","Медицина","med","2007","2.8"
"Болгарія","new","2","Освіта","edu","2007","3.5"
"Болгарія","new","2","Пенсії","old","2007","0.2"
"Болгарія","new","2","Соціальний захист","soc","2007","1.6"
"Болгарія","new","2","Безпека і оборона","def","2008","3.9"
"Болгарія","new","2","Відсотки за борг","deb","2008","0.8"
"Болгарія","new","2","Всього","ttl","2008","34.5"
"Болгарія","new","2","Державна служба","cle","2008","12.1"
"Болгарія","new","2","Дороги і ЖКГ","hou","2008","4.9"
"Болгарія","new","2","Медицина","med","2008","2.9"
"Болгарія","new","2","Освіта","edu","2008","3.9"
"Болгарія","new","2","Пенсії","old","2008","0.4"
"Болгарія","new","2","Соціальний захист","soc","2008","1.4"
"Болгарія","new","2","Безпека і оборона","def","2009","4.1"
"Болгарія","new","2","Відсотки за борг","deb","2009","0.7"
"Болгарія","new","2","Всього","ttl","2009","37.4"
"Болгарія","new","2","Державна служба","cle","2009","16.9"
"Болгарія","new","2","Дороги і ЖКГ","hou","2009","3.2"
"Болгарія","new","2","Медицина","med","2009","2.4"
"Болгарія","new","2","Освіта","edu","2009","4.1"
"Болгарія","new","2","Пенсії","old","2009","0.3"
"Болгарія","new","2","Соціальний захист","soc","2009","1.8"
"Болгарія","new","2","Безпека і оборона","def","2010","4.3"
"Болгарія","new","2","Відсотки за борг","deb","2010","0.7"
"Болгарія","new","2","Всього","ttl","2010","34.1"
"Болгарія","new","2","Державна служба","cle","2010","13.3"
"Болгарія","new","2","Дороги і ЖКГ","hou","2010","4.5"
"Болгарія","new","2","Медицина","med","2010","2.8"
"Болгарія","new","2","Освіта","edu","2010","3.6"
"Болгарія","new","2","Пенсії","old","2010","0.3"
"Болгарія","new","2","Соціальний захист","soc","2010","1.7"
"Болгарія","new","2","Безпека і оборона","def","2011","3.6"
"Болгарія","new","2","Відсотки за борг","deb","2011","0.7"
"Болгарія","new","2","Всього","ttl","2011","32"
"Болгарія","new","2","Державна служба","cle","2011","13.1"
"Болгарія","new","2","Дороги і ЖКГ","hou","2011","4.2"
"Болгарія","new","2","Медицина","med","2011","2.4"
"Болгарія","new","2","Освіта","edu","2011","3.4"
"Болгарія","new","2","Пенсії","old","2011","0.4"
"Болгарія","new","2","Соціальний захист","soc","2011","1.5"
"Болгарія","new","2","Безпека і оборона","def","2012","3.3"
"Болгарія","new","2","Відсотки за борг","deb","2012","0.8"
"Болгарія","new","2","Всього","ttl","2012","32.2"
"Болгарія","new","2","Державна служба","cle","2012","12.6"
"Болгарія","new","2","Дороги і ЖКГ","hou","2012","4.4"
"Болгарія","new","2","Медицина","med","2012","2.6"
"Болгарія","new","2","Освіта","edu","2012","3.4"
"Болгарія","new","2","Пенсії","old","2012","0.2"
"Болгарія","new","2","Соціальний захист","soc","2012","1.7"
"Болгарія","new","2","Безпека і оборона","def","2013","3.8"
"Болгарія","new","2","Відсотки за борг","deb","2013","0.7"
"Болгарія","new","2","Всього","ttl","2013","34.8"
"Болгарія","new","2","Державна служба","cle","2013","13.4"
"Болгарія","new","2","Дороги і ЖКГ","hou","2013","4.5"
"Болгарія","new","2","Медицина","med","2013","2.5"
"Болгарія","new","2","Освіта","edu","2013","3.7"
"Болгарія","new","2","Пенсії","old","2013","0.2"
"Болгарія","new","2","Соціальний захист","soc","2013","2"
"Болгарія","new","2","Безпека і оборона","def","2014","4.1"
"Болгарія","new","2","Відсотки за борг","deb","2014","0.8"
"Болгарія","new","2","Всього","ttl","2014","39.9"
"Болгарія","new","2","Державна служба","cle","2014","14.9"
"Болгарія","new","2","Дороги і ЖКГ","hou","2014","5.4"
"Болгарія","new","2","Медицина","med","2014","3.3"
"Болгарія","new","2","Освіта","edu","2014","4.1"
"Болгарія","new","2","Пенсії","old","2014","0.2"
"Болгарія","new","2","Соціальний захист","soc","2014","2.2"
"Греція","old","3","Безпека і оборона","def","1995",""
"Греція","old","3","Відсотки за борг","deb","1995",""
"Греція","old","3","Всього","ttl","1995",""
"Греція","old","3","Державна служба","cle","1995",""
"Греція","old","3","Дороги і ЖКГ","hou","1995",""
"Греція","old","3","Медицина","med","1995",""
"Греція","old","3","Освіта","edu","1995",""
"Греція","old","3","Пенсії","old","1995",""
"Греція","old","3","Соціальний захист","soc","1995",""
"Греція","old","3","Безпека і оборона","def","1996",""
"Греція","old","3","Відсотки за борг","deb","1996",""
"Греція","old","3","Всього","ttl","1996",""
"Греція","old","3","Державна служба","cle","1996",""
"Греція","old","3","Дороги і ЖКГ","hou","1996",""
"Греція","old","3","Медицина","med","1996",""
"Греція","old","3","Освіта","edu","1996",""
"Греція","old","3","Пенсії","old","1996",""
"Греція","old","3","Соціальний захист","soc","1996",""
"Греція","old","3","Безпека і оборона","def","1997",""
"Греція","old","3","Відсотки за борг","deb","1997",""
"Греція","old","3","Всього","ttl","1997",""
"Греція","old","3","Державна служба","cle","1997",""
"Греція","old","3","Дороги і ЖКГ","hou","1997",""
"Греція","old","3","Медицина","med","1997",""
"Греція","old","3","Освіта","edu","1997",""
"Греція","old","3","Пенсії","old","1997",""
"Греція","old","3","Соціальний захист","soc","1997",""
"Греція","old","3","Безпека і оборона","def","1998",""
"Греція","old","3","Відсотки за борг","deb","1998",""
"Греція","old","3","Всього","ttl","1998",""
"Греція","old","3","Державна служба","cle","1998",""
"Греція","old","3","Дороги і ЖКГ","hou","1998",""
"Греція","old","3","Медицина","med","1998",""
"Греція","old","3","Освіта","edu","1998",""
"Греція","old","3","Пенсії","old","1998",""
"Греція","old","3","Соціальний захист","soc","1998",""
"Греція","old","3","Безпека і оборона","def","1999",""
"Греція","old","3","Відсотки за борг","deb","1999",""
"Греція","old","3","Всього","ttl","1999",""
"Греція","old","3","Державна служба","cle","1999",""
"Греція","old","3","Дороги і ЖКГ","hou","1999",""
"Греція","old","3","Медицина","med","1999",""
"Греція","old","3","Освіта","edu","1999",""
"Греція","old","3","Пенсії","old","1999",""
"Греція","old","3","Соціальний захист","soc","1999",""
"Греція","old","3","Безпека і оборона","def","2000",""
"Греція","old","3","Відсотки за борг","deb","2000",""
"Греція","old","3","Всього","ttl","2000",""
"Греція","old","3","Державна служба","cle","2000",""
"Греція","old","3","Дороги і ЖКГ","hou","2000",""
"Греція","old","3","Медицина","med","2000",""
"Греція","old","3","Освіта","edu","2000",""
"Греція","old","3","Пенсії","old","2000",""
"Греція","old","3","Соціальний захист","soc","2000",""
"Греція","old","3","Безпека і оборона","def","2001",""
"Греція","old","3","Відсотки за борг","deb","2001",""
"Греція","old","3","Всього","ttl","2001",""
"Греція","old","3","Державна служба","cle","2001",""
"Греція","old","3","Дороги і ЖКГ","hou","2001",""
"Греція","old","3","Медицина","med","2001",""
"Греція","old","3","Освіта","edu","2001",""
"Греція","old","3","Пенсії","old","2001",""
"Греція","old","3","Соціальний захист","soc","2001",""
"Греція","old","3","Безпека і оборона","def","2002",""
"Греція","old","3","Відсотки за борг","deb","2002",""
"Греція","old","3","Всього","ttl","2002",""
"Греція","old","3","Державна служба","cle","2002",""
"Греція","old","3","Дороги і ЖКГ","hou","2002",""
"Греція","old","3","Медицина","med","2002",""
"Греція","old","3","Освіта","edu","2002",""
"Греція","old","3","Пенсії","old","2002",""
"Греція","old","3","Соціальний захист","soc","2002",""
"Греція","old","3","Безпека і оборона","def","2003",""
"Греція","old","3","Відсотки за борг","deb","2003",""
"Греція","old","3","Всього","ttl","2003",""
"Греція","old","3","Державна служба","cle","2003",""
"Греція","old","3","Дороги і ЖКГ","hou","2003",""
"Греція","old","3","Медицина","med","2003",""
"Греція","old","3","Освіта","edu","2003",""
"Греція","old","3","Пенсії","old","2003",""
"Греція","old","3","Соціальний захист","soc","2003",""
"Греція","old","3","Безпека і оборона","def","2004",""
"Греція","old","3","Відсотки за борг","deb","2004",""
"Греція","old","3","Всього","ttl","2004",""
"Греція","old","3","Державна служба","cle","2004",""
"Греція","old","3","Дороги і ЖКГ","hou","2004",""
"Греція","old","3","Медицина","med","2004",""
"Греція","old","3","Освіта","edu","2004",""
"Греція","old","3","Пенсії","old","2004",""
"Греція","old","3","Соціальний захист","soc","2004",""
"Греція","old","3","Безпека і оборона","def","2005",""
"Греція","old","3","Відсотки за борг","deb","2005",""
"Греція","old","3","Всього","ttl","2005",""
"Греція","old","3","Державна служба","cle","2005",""
"Греція","old","3","Дороги і ЖКГ","hou","2005",""
"Греція","old","3","Медицина","med","2005",""
"Греція","old","3","Освіта","edu","2005",""
"Греція","old","3","Пенсії","old","2005",""
"Греція","old","3","Соціальний захист","soc","2005",""
"Греція","old","3","Безпека і оборона","def","2006","4"
"Греція","old","3","Відсотки за борг","deb","2006","4.7"
"Греція","old","3","Всього","ttl","2006","37.2"
"Греція","old","3","Державна служба","cle","2006","6.5"
"Греція","old","3","Дороги і ЖКГ","hou","2006","2.7"
"Греція","old","3","Медицина","med","2006","2.6"
"Греція","old","3","Освіта","edu","2006","3.7"
"Греція","old","3","Пенсії","old","2006","2.2"
"Греція","old","3","Соціальний захист","soc","2006","0.8"
"Греція","old","3","Безпека і оборона","def","2007","4.3"
"Греція","old","3","Відсотки за борг","deb","2007","5"
"Греція","old","3","Всього","ttl","2007","38.8"
"Греція","old","3","Державна служба","cle","2007","6.9"
"Греція","old","3","Дороги і ЖКГ","hou","2007","3.2"
"Греція","old","3","Медицина","med","2007","2.7"
"Греція","old","3","Освіта","edu","2007","3.6"
"Греція","old","3","Пенсії","old","2007","2.3"
"Греція","old","3","Соціальний захист","soc","2007","0.8"
"Греція","old","3","Безпека і оборона","def","2008","4.6"
"Греція","old","3","Відсотки за борг","deb","2008","5.3"
"Греція","old","3","Всього","ttl","2008","42.7"
"Греція","old","3","Державна служба","cle","2008","6.5"
"Греція","old","3","Дороги і ЖКГ","hou","2008","3.4"
"Греція","old","3","Медицина","med","2008","2.8"
"Греція","old","3","Освіта","edu","2008","3.8"
"Греція","old","3","Пенсії","old","2008","2.6"
"Греція","old","3","Соціальний захист","soc","2008","0.9"
"Греція","old","3","Безпека і оборона","def","2009","5.1"
"Греція","old","3","Відсотки за борг","deb","2009","5.5"
"Греція","old","3","Всього","ttl","2009","46.2"
"Греція","old","3","Державна служба","cle","2009","7"
"Греція","old","3","Дороги і ЖКГ","hou","2009","3.3"
"Греція","old","3","Медицина","med","2009","3"
"Греція","old","3","Освіта","edu","2009","4.2"
"Греція","old","3","Пенсії","old","2009","2.9"
"Греція","old","3","Соціальний захист","soc","2009","1.1"
"Греція","old","3","Безпека і оборона","def","2010","4.5"
"Греція","old","3","Відсотки за борг","deb","2010","6.6"
"Греція","old","3","Всього","ttl","2010","43.5"
"Греція","old","3","Державна служба","cle","2010","6.2"
"Греція","old","3","Дороги і ЖКГ","hou","2010","2.6"
"Греція","old","3","Медицина","med","2010","3"
"Греція","old","3","Освіта","edu","2010","4.2"
"Греція","old","3","Пенсії","old","2010","2.9"
"Греція","old","3","Соціальний захист","soc","2010","1"
"Греція","old","3","Безпека і оборона","def","2011","4.1"
"Греція","old","3","Відсотки за борг","deb","2011","8.1"
"Греція","old","3","Всього","ttl","2011","44.5"
"Греція","old","3","Державна служба","cle","2011","5.3"
"Греція","old","3","Дороги і ЖКГ","hou","2011","2.3"
"Греція","old","3","Медицина","med","2011","2.5"
"Греція","old","3","Освіта","edu","2011","4.4"
"Греція","old","3","Пенсії","old","2011","3.2"
"Греція","old","3","Соціальний захист","soc","2011","0.8"
"Греція","old","3","Безпека і оборона","def","2012","4.2"
"Греція","old","3","Відсотки за борг","deb","2012","5.5"
"Греція","old","3","Всього","ttl","2012","45.4"
"Греція","old","3","Державна служба","cle","2012","5.6"
"Греція","old","3","Дороги і ЖКГ","hou","2012","1.9"
"Греція","old","3","Медицина","med","2012","2.6"
"Греція","old","3","Освіта","edu","2012","4.5"
"Греція","old","3","Пенсії","old","2012","3.4"
"Греція","old","3","Соціальний захист","soc","2012","0.9"
"Греція","old","3","Безпека і оборона","def","2013","3.9"
"Греція","old","3","Відсотки за борг","deb","2013","4.3"
"Греція","old","3","Всього","ttl","2013","54.1"
"Греція","old","3","Державна служба","cle","2013","5.6"
"Греція","old","3","Дороги і ЖКГ","hou","2013","2.7"
"Греція","old","3","Медицина","med","2013","2.5"
"Греція","old","3","Освіта","edu","2013","4.5"
"Греція","old","3","Пенсії","old","2013","3.2"
