year,country,item,option,val
1996,Lithuania,Дороги і ЖКГ,hou,0.6
1996,Lithuania,Медицина,med,4.6
1996,Lithuania,Освіта,edu,5.3
1996,Malta,Безпека і оборона,def,2.5
1996,Malta,Дороги і ЖКГ,hou,1.6
1996,Malta,Медицина,med,4.1
1996,Malta,Освіта,edu,5.4
1996,Slovakia,Безпека і оборона,def,5.3
1996,Slovakia,Дороги і ЖКГ,hou,1.5
1996,Slovakia,Медицина,med,3.1
1996,Slovakia,Освіта,edu,3.5
1997,Czech Republic,Безпека і оборона,def,3.7
1997,Czech Republic,Відсотки за борг,deb,1.1
1997,Czech Republic,Державна служба,cle,3.2
1997,Czech Republic,Дороги і ЖКГ,hou,5.4
1997,Czech Republic,Медицина,med,1.4
1997,Czech Republic,Освіта,edu,6.2
1997,Czech Republic,Пенсії,old,6.1
1997,Czech Republic,Соціальний захист,soc,6
1997,Estonia,Безпека і оборона,def,3.9
1997,Estonia,Відсотки за борг,deb,0.6
1997,Estonia,Державна служба,cle,3.5
1997,Estonia,Дороги і ЖКГ,hou,3.2
1997,Estonia,Медицина,med,3.5
1997,Estonia,Освіта,edu,7
1997,Estonia,Пенсії,old,5.8
1997,Estonia,Соціальний захист,soc,4
1997,Hungary,Безпека і оборона,def,3.2
1997,Hungary,Відсотки за борг,deb,8.6
1997,Hungary,Державна служба,cle,4.4
1997,Hungary,Дороги і ЖКГ,hou,3.2
1997,Hungary,Медицина,med,3.6
1997,Hungary,Освіта,edu,7.2
1997,Hungary,Пенсії,old,1.3
1997,Hungary,Соціальний захист,soc,6.7
1997,Latvia,Безпека і оборона,def,3.1
1997,Latvia,Дороги і ЖКГ,hou,0.7
1997,Latvia,Медицина,med,3.9
1997,Latvia,Освіта,edu,7.6
1997,Lithuania,Безпека і оборона,def,3.8
1997,Lithuania,Дороги і ЖКГ,hou,0.7
1997,Lithuania,Медицина,med,6.2
1997,Lithuania,Освіта,edu,5.2
1997,Malta,Безпека і оборона,def,2.7
1997,Malta,Дороги і ЖКГ,hou,1.6
1997,Malta,Медицина,med,4.4
1997,Malta,Освіта,edu,5.6
1997,Slovakia,Безпека і оборона,def,4.8
1997,Slovakia,Дороги і ЖКГ,hou,0.7
1997,Slovakia,Медицина,med,2.8
1997,Slovakia,Освіта,edu,3.6
1998,Czech Republic,Безпека і оборона,def,3.2
1998,Czech Republic,Відсотки за борг,deb,1
1998,Czech Republic,Державна служба,cle,3.2
1998,Czech Republic,Дороги і ЖКГ,hou,5.9
1998,Czech Republic,Медицина,med,1.6
1998,Czech Republic,Освіта,edu,6.6
1998,Czech Republic,Пенсії,old,6
1998,Czech Republic,Соціальний захист,soc,5.9
1998,Estonia,Безпека і оборона,def,4.1
1998,Estonia,Відсотки за борг,deb,0.7
1998,Estonia,Державна служба,cle,3.9
1998,Estonia,Дороги і ЖКГ,hou,3.2
1998,Estonia,Медицина,med,3.2
1998,Estonia,Освіта,edu,7.2
1998,Estonia,Пенсії,old,5.8
1998,Estonia,Соціальний захист,soc,4.1
1998,Hungary,Безпека і оборона,def,3.2
1998,Hungary,Відсотки за борг,deb,7.2
1998,Hungary,Державна служба,cle,5.2
1998,Hungary,Дороги і ЖКГ,hou,3.3
1998,Hungary,Медицина,med,3.8
1998,Hungary,Освіта,edu,7
1998,Hungary,Пенсії,old,0.5
1998,Hungary,Соціальний захист,soc,6.7
1998,Latvia,Безпека і оборона,def,3.1
1998,Latvia,Дороги і ЖКГ,hou,1
1998,Latvia,Медицина,med,3.8
1998,Latvia,Освіта,edu,8.2
1998,Lithuania,Безпека і оборона,def,4.2
1998,Lithuania,Дороги і ЖКГ,hou,0.8
1998,Lithuania,Медицина,med,6.5
1998,Lithuania,Освіта,edu,5.7
1998,Malta,Безпека і оборона,def,2.6
1998,Malta,Дороги і ЖКГ,hou,1.8
1998,Malta,Медицина,med,4.4
1998,Malta,Освіта,edu,5.3
1998,Slovakia,Безпека і оборона,def,4.8
1998,Slovakia,Дороги і ЖКГ,hou,0.6
1998,Slovakia,Медицина,med,2.7
1998,Slovakia,Освіта,edu,3.3
1999,Czech Republic,Безпека і оборона,def,3.6
1999,Czech Republic,Відсотки за борг,deb,0.9
1999,Czech Republic,Державна служба,cle,3.5
1999,Czech Republic,Дороги і ЖКГ,hou,5.3
1999,Czech Republic,Медицина,med,1.6
1999,Czech Republic,Освіта,edu,6.2
1999,Czech Republic,Пенсії,old,6.1
1999,Czech Republic,Соціальний захист,soc,6.1
1999,Estonia,Безпека і оборона,def,4.1
1999,Estonia,Відсотки за борг,deb,0.5
1999,Estonia,Державна служба,cle,3.5
1999,Estonia,Дороги і ЖКГ,hou,3.3
1999,Estonia,Медицина,med,3.4
1999,Estonia,Освіта,edu,7.5
1999,Estonia,Пенсії,old,6.6
1999,Estonia,Соціальний захист,soc,4.6
1999,Hungary,Безпека і оборона,def,3.2
1999,Hungary,Відсотки за борг,deb,6.9
1999,Hungary,Державна служба,cle,5.2
1999,Hungary,Дороги і ЖКГ,hou,3.7
1999,Hungary,Медицина,med,3.8
1999,Hungary,Освіта,edu,7
1999,Hungary,Пенсії,old,1.2
1999,Hungary,Соціальний захист,soc,6.5
1999,Latvia,Безпека і оборона,def,3.4
1999,Latvia,Дороги і ЖКГ,hou,1.3
1999,Latvia,Медицина,med,3.9
1999,Latvia,Освіта,edu,8
1999,Lithuania,Безпека і оборона,def,3.3
1999,Lithuania,Дороги і ЖКГ,hou,0.4
1999,Lithuania,Медицина,med,7.1
1999,Lithuania,Освіта,edu,6.7
1999,Malta,Безпека і оборона,def,2.2
1999,Malta,Дороги і ЖКГ,hou,1.2
1999,Malta,Медицина,med,4.4
1999,Malta,Освіта,edu,5.4
1999,Slovakia,Безпека і оборона,def,4.4
1999,Slovakia,Дороги і ЖКГ,hou,0.8
1999,Slovakia,Медицина,med,2.4
1999,Slovakia,Освіта,edu,3.8
1999,Slovenia,Безпека і оборона,def,2.8
1999,Slovenia,Відсотки за борг,deb,2.5
1999,Slovenia,Державна служба,cle,3.4
1999,Slovenia,Дороги і ЖКГ,hou,3.5
1999,Slovenia,Медицина,med,4.6
1999,Slovenia,Освіта,edu,8.5
1999,Slovenia,Пенсії,old,3.3
1999,Slovenia,Соціальний захист,soc,4.8
2000,Czech Republic,Безпека і оборона,def,3.6
2000,Czech Republic,Відсотки за борг,deb,0.8
2000,Czech Republic,Державна служба,cle,3.6
2000,Czech Republic,Дороги і ЖКГ,hou,5.3
2000,Czech Republic,Медицина,med,1.5
2000,Czech Republic,Освіта,edu,6.4
2000,Czech Republic,Пенсії,old,6.3
2000,Czech Republic,Соціальний захист,soc,6.2
2000,Estonia,Безпека і оборона,def,4
2000,Estonia,Відсотки за борг,deb,0.4
2000,Estonia,Державна служба,cle,3.3
2000,Estonia,Дороги і ЖКГ,hou,2.9
2000,Estonia,Медицина,med,2.9
2000,Estonia,Освіта,edu,6.9
2000,Estonia,Пенсії,old,6
2000,Estonia,Соціальний захист,soc,4
2000,Hungary,Безпека і оборона,def,3.3
2000,Hungary,Відсотки за борг,deb,5.4
2000,Hungary,Державна служба,cle,4.8
2000,Hungary,Дороги і ЖКГ,hou,3.7
2000,Hungary,Медицина,med,4.1
2000,Hungary,Освіта,edu,7.1
2000,Hungary,Пенсії,old,0.8
2000,Hungary,Соціальний захист,soc,5.7
2000,Latvia,Безпека і оборона,def,3.3
2000,Latvia,Дороги і ЖКГ,hou,1.4
2000,Latvia,Медицина,med,4
2000,Latvia,Освіта,edu,7.5
2000,Lithuania,Безпека і оборона,def,3.4
2000,Lithuania,Відсотки за борг,deb,1.9
2000,Lithuania,Державна служба,cle,3.4
2000,Lithuania,Дороги і ЖКГ,hou,3.6
2000,Lithuania,Медицина,med,6.2
2000,Lithuania,Освіта,edu,6
2000,Lithuania,Пенсії,old,1.9
2000,Lithuania,Соціальний захист,soc,1.5
2000,Malta,Безпека і оборона,def,2.2
2000,Malta,Дороги і ЖКГ,hou,1.2
2000,Malta,Медицина,med,4.7
2000,Malta,Освіта,edu,5.1
2000,Slovakia,Безпека і оборона,def,4.4
2000,Slovakia,Дороги і ЖКГ,hou,1.1
2000,Slovakia,Медицина,med,2.6
2000,Slovakia,Освіта,edu,3.7
2000,Slovenia,Безпека і оборона,def,2.9
2000,Slovenia,Відсотки за борг,deb,2.4
2000,Slovenia,Державна служба,cle,3.8
2000,Slovenia,Дороги і ЖКГ,hou,3.5
2000,Slovenia,Медицина,med,4.6
2000,Slovenia,Освіта,edu,8
2000,Slovenia,Пенсії,old,3
2000,Slovenia,Соціальний захист,soc,4.9
2001,Cyprus,Безпека і оборона,def,3.6
2001,Cyprus,Відсотки за борг,deb,5.1
2001,Cyprus,Державна служба,cle,5.8
2001,Cyprus,Дороги і ЖКГ,hou,3.6
2001,Cyprus,Медицина,med,2.7
2001,Cyprus,Освіта,edu,5.2
2001,Cyprus,Пенсії,old,0.4
2001,Cyprus,Соціальний захист,soc,2
2001,Czech Republic,Безпека і оборона,def,3.6
2001,Czech Republic,Відсотки за борг,deb,1
2001,Czech Republic,Державна служба,cle,3.7
2001,Czech Republic,Дороги і ЖКГ,hou,5.7
2001,Czech Republic,Медицина,med,1.7
2001,Czech Republic,Освіта,edu,6.6
2001,Czech Republic,Пенсії,old,6.2
2001,Czech Republic,Соціальний захист,soc,6.2
2001,Estonia,Безпека і оборона,def,3.8
2001,Estonia,Відсотки за борг,deb,0.3
2001,Estonia,Державна служба,cle,3
2001,Estonia,Дороги і ЖКГ,hou,2.9
2001,Estonia,Медицина,med,2.7
2001,Estonia,Освіта,edu,6.9
2001,Estonia,Пенсії,old,5.6
2001,Estonia,Соціальний захист,soc,3.8
2001,Hungary,Безпека і оборона,def,3.4
2001,Hungary,Відсотки за борг,deb,4.7
2001,Hungary,Державна служба,cle,6.5
2001,Hungary,Дороги і ЖКГ,hou,3.1
2001,Hungary,Медицина,med,3.9
2001,Hungary,Освіта,edu,7.2
2001,Hungary,Пенсії,old,1.3
2001,Hungary,Соціальний захист,soc,5.5
2001,Latvia,Безпека і оборона,def,3.2
2001,Latvia,Дороги і ЖКГ,hou,1.5
2001,Latvia,Медицина,med,3.3
2001,Latvia,Освіта,edu,7.5
2001,Lithuania,Безпека і оборона,def,3.3
2001,Lithuania,Відсотки за борг,deb,1.7
2001,Lithuania,Державна служба,cle,3.6
2001,Lithuania,Дороги і ЖКГ,hou,2.9
2001,Lithuania,Медицина,med,6.6
2001,Lithuania,Освіта,edu,5.9
2001,Lithuania,Пенсії,old,1.7
2001,Lithuania,Соціальний захист,soc,1.2
2001,Malta,Безпека і оборона,def,2.3
2001,Malta,Відсотки за борг,deb,3.8
2001,Malta,Державна служба,cle,3.3
2001,Malta,Дороги і ЖКГ,hou,3.1
2001,Malta,Медицина,med,4.8
2001,Malta,Освіта,edu,5.7
2001,Malta,Пенсії,old,7
2001,Malta,Соціальний захист,soc,6
2001,Slovakia,Безпека і оборона,def,4.4
2001,Slovakia,Дороги і ЖКГ,hou,0.6
2001,Slovakia,Медицина,med,2.5
2001,Slovakia,Освіта,edu,3.5
2001,Slovenia,Безпека і оборона,def,3.1
2001,Slovenia,Відсотки за борг,deb,2.4
2001,Slovenia,Державна служба,cle,4.6
2001,Slovenia,Дороги і ЖКГ,hou,3.1
2001,Slovenia,Медицина,med,4.6
2001,Slovenia,Освіта,edu,8.4
2001,Slovenia,Пенсії,old,3.2
2001,Slovenia,Соціальний захист,soc,4.8
2002,Cyprus,Безпека і оборона,def,3.8
2002,Cyprus,Відсотки за борг,deb,4.5
2002,Cyprus,Державна служба,cle,6.3
2002,Cyprus,Дороги і ЖКГ,hou,3.9
2002,Cyprus,Медицина,med,2.9
2002,Cyprus,Освіта,edu,5.5
2002,Cyprus,Пенсії,old,0.5
2002,Cyprus,Соціальний захист,soc,2.2
2002,Czech Republic,Безпека і оборона,def,3.8
2002,Czech Republic,Відсотки за борг,deb,1.1
2002,Czech Republic,Державна служба,cle,4
2002,Czech Republic,Дороги і ЖКГ,hou,4.8
2002,Czech Republic,Медицина,med,1.5
2002,Czech Republic,Освіта,edu,7.1
2002,Czech Republic,Пенсії,old,6.4
2002,Czech Republic,Соціальний захист,soc,7
2002,Estonia,Безпека і оборона,def,4
2002,Estonia,Відсотки за борг,deb,0.4
2002,Estonia,Державна служба,cle,3.4
2002,Estonia,Дороги і ЖКГ,hou,2.9
2002,Estonia,Медицина,med,3
2002,Estonia,Освіта,edu,7.1
2002,Estonia,Пенсії,old,5.6
2002,Estonia,Соціальний захист,soc,3.7
2002,Hungary,Безпека і оборона,def,3.8
2002,Hungary,Відсотки за борг,deb,4
2002,Hungary,Державна служба,cle,6
2002,Hungary,Дороги і ЖКГ,hou,3.8
2002,Hungary,Медицина,med,4.3
2002,Hungary,Освіта,edu,7.4
2002,Hungary,Пенсії,old,2
2002,Hungary,Соціальний захист,soc,5.7
2002,Latvia,Безпека і оборона,def,3.4
2002,Latvia,Дороги і ЖКГ,hou,1.4
2002,Latvia,Медицина,med,3.6
2002,Latvia,Освіта,edu,7.7
2002,Lithuania,Безпека і оборона,def,3.4
2002,Lithuania,Відсотки за борг,deb,1.5
2002,Lithuania,Державна служба,cle,2.9
2002,Lithuania,Дороги і ЖКГ,hou,2.8
2002,Lithuania,Медицина,med,6
2002,Lithuania,Освіта,edu,6
2002,Lithuania,Пенсії,old,1.5
2002,Lithuania,Соціальний захист,soc,1.4
2002,Malta,Безпека і оборона,def,2.2
2002,Malta,Відсотки за борг,deb,3.9
2002,Malta,Державна служба,cle,3.1
2002,Malta,Дороги і ЖКГ,hou,2.8
2002,Malta,Медицина,med,5.4
2002,Malta,Освіта,edu,5.8
2002,Malta,Пенсії,old,6.8
2002,Malta,Соціальний захист,soc,6.3
2002,Poland,Безпека і оборона,def,3.7
2002,Poland,Відсотки за борг,deb,2.8
2002,Poland,Державна служба,cle,3.7
2002,Poland,Дороги і ЖКГ,hou,3.7
2002,Poland,Медицина,med,3
2002,Poland,Освіта,edu,9.8
2002,Poland,Пенсії,old,4.4
2002,Poland,Соціальний захист,soc,4.9
2002,Slovakia,Безпека і оборона,def,4.4
2002,Slovakia,Дороги і ЖКГ,hou,0.8
2002,Slovakia,Медицина,med,2.5
2002,Slovakia,Освіта,edu,3.7
2002,Slovenia,Безпека і оборона,def,3
2002,Slovenia,Відсотки за борг,deb,2.3
2002,Slovenia,Державна служба,cle,3.8
2002,Slovenia,Дороги і ЖКГ,hou,2.6
2002,Slovenia,Медицина,med,4.5
2002,Slovenia,Освіта,edu,8.4
2002,Slovenia,Пенсії,old,3.4
2002,Slovenia,Соціальний захист,soc,4.8
2003,Cyprus,Безпека і оборона,def,4.1
2003,Cyprus,Відсотки за борг,deb,4.5
2003,Cyprus,Державна служба,cle,7
2003,Cyprus,Дороги і ЖКГ,hou,4.2
2003,Cyprus,Медицина,med,3.1
2003,Cyprus,Освіта,edu,6.2
2003,Cyprus,Пенсії,old,0.6
2003,Cyprus,Соціальний захист,soc,2.6
2003,Czech Republic,Безпека і оборона,def,3.9
2003,Czech Republic,Відсотки за борг,deb,1
2003,Czech Republic,Державна служба,cle,5.1
2003,Czech Republic,Дороги і ЖКГ,hou,9
2003,Czech Republic,Медицина,med,1.9
2003,Czech Republic,Освіта,edu,7.8
2003,Czech Republic,Пенсії,old,6.4
2003,Czech Republic,Соціальний захист,soc,6.8
2003,Estonia,Безпека і оборона,def,4.2
2003,Estonia,Відсотки за борг,deb,0.4
2003,Estonia,Державна служба,cle,2.8
2003,Estonia,Дороги і ЖКГ,hou,2.6
2003,Estonia,Медицина,med,3
2003,Estonia,Освіта,edu,6.8
2003,Estonia,Пенсії,old,5.7
2003,Estonia,Соціальний захист,soc,3.4
2003,Hungary,Безпека і оборона,def,3.5
2003,Hungary,Відсотки за борг,deb,4
2003,Hungary,Державна служба,cle,5.3
2003,Hungary,Дороги і ЖКГ,hou,2.6
2003,Hungary,Медицина,med,4.4
2003,Hungary,Освіта,edu,8.8
2003,Hungary,Пенсії,old,1.8
2003,Hungary,Соціальний захист,soc,6.3
2003,Latvia,Безпека і оборона,def,3.3
2003,Latvia,Дороги і ЖКГ,hou,1.2
2003,Latvia,Медицина,med,3.2
2003,Latvia,Освіта,edu,7.3
2003,Lithuania,Безпека і оборона,def,3.3
2003,Lithuania,Відсотки за борг,deb,1.3
2003,Lithuania,Державна служба,cle,2.8
2003,Lithuania,Дороги і ЖКГ,hou,2.6
2003,Lithuania,Медицина,med,5.9
2003,Lithuania,Освіта,edu,5.7
2003,Lithuania,Пенсії,old,1.6
2003,Lithuania,Соціальний захист,soc,1.1
2003,Malta,Безпека і оборона,def,2.4
2003,Malta,Відсотки за борг,deb,3.6
2003,Malta,Державна служба,cle,2.9
2003,Malta,Дороги і ЖКГ,hou,6.5
2003,Malta,Медицина,med,5.5
2003,Malta,Освіта,edu,5.9
2003,Malta,Пенсії,old,6.7
2003,Malta,Соціальний захист,soc,6.4
2003,Poland,Безпека і оборона,def,3.9
2003,Poland,Відсотки за борг,deb,3.1
2003,Poland,Державна служба,cle,4
2003,Poland,Дороги і ЖКГ,hou,3.9
2003,Poland,Медицина,med,2.9
2003,Poland,Освіта,edu,9.8
2003,Poland,Пенсії,old,4.4
2003,Poland,Соціальний захист,soc,4.8
2003,Slovakia,Безпека і оборона,def,3.1
2003,Slovakia,Дороги і ЖКГ,hou,0.7
2003,Slovakia,Медицина,med,1.9
2003,Slovakia,Освіта,edu,5.6
2003,Slovenia,Безпека і оборона,def,3.1
2003,Slovenia,Відсотки за борг,deb,2
2003,Slovenia,Державна служба,cle,3.9
2003,Slovenia,Дороги і ЖКГ,hou,3
2003,Slovenia,Медицина,med,4.5
2003,Slovenia,Освіта,edu,8.4
2003,Slovenia,Пенсії,old,3.3
2003,Slovenia,Соціальний захист,soc,4.8
2004,Cyprus,Безпека і оборона,def,3.7
2004,Cyprus,Відсотки за борг,deb,4.6
2004,Cyprus,Державна служба,cle,6.6
2004,Cyprus,Дороги і ЖКГ,hou,4
2004,Cyprus,Медицина,med,2.8
2004,Cyprus,Освіта,edu,5.9
2004,Cyprus,Пенсії,old,0.6
2004,Cyprus,Соціальний захист,soc,2.7
2004,Czech Republic,Безпека і оборона,def,3.3
2004,Czech Republic,Відсотки за борг,deb,1.1
2004,Czech Republic,Державна служба,cle,5
2004,Czech Republic,Дороги і ЖКГ,hou,6.5
2004,Czech Republic,Медицина,med,1.7
2004,Czech Republic,Освіта,edu,7
2004,Czech Republic,Пенсії,old,6.1
2004,Czech Republic,Соціальний захист,soc,5.9
2004,Estonia,Безпека і оборона,def,3.6
2004,Estonia,Відсотки за борг,deb,0.3
2004,Estonia,Державна служба,cle,2.9
2004,Estonia,Дороги і ЖКГ,hou,2.6
2004,Estonia,Медицина,med,3
2004,Estonia,Освіта,edu,6.6
2004,Estonia,Пенсії,old,5.6
2004,Estonia,Соціальний захист,soc,3.8
2004,Hungary,Безпека і оборона,def,3.3
2004,Hungary,Відсотки за борг,deb,4.3
2004,Hungary,Державна служба,cle,5.8
2004,Hungary,Дороги і ЖКГ,hou,3
2004,Hungary,Медицина,med,4.9
2004,Hungary,Освіта,edu,7.9
2004,Hungary,Пенсії,old,2.2
2004,Hungary,Соціальний захист,soc,6.4
2004,Latvia,Безпека і оборона,def,3.5
2004,Latvia,Дороги і ЖКГ,hou,1.2
2004,Latvia,Медицина,med,3.3
2004,Latvia,Освіта,edu,7.9
2004,Lithuania,Безпека і оборона,def,3.3
2004,Lithuania,Відсотки за борг,deb,1
2004,Lithuania,Державна служба,cle,4
2004,Lithuania,Дороги і ЖКГ,hou,2.6
2004,Lithuania,Медицина,med,3.2
2004,Lithuania,Освіта,edu,5.8
2004,Lithuania,Пенсії,old,0.9
2004,Lithuania,Соціальний захист,soc,1.8
2004,Malta,Безпека і оборона,def,2.4
2004,Malta,Відсотки за борг,deb,3.8
2004,Malta,Державна служба,cle,3.8
2004,Malta,Дороги і ЖКГ,hou,2.2
2004,Malta,Медицина,med,5.7
2004,Malta,Освіта,edu,5.5
2004,Malta,Пенсії,old,6.9
2004,Malta,Соціальний захист,soc,6.3
2004,Poland,Безпека і оборона,def,3.8
2004,Poland,Відсотки за борг,deb,2.8
2004,Poland,Державна служба,cle,3.9
2004,Poland,Дороги і ЖКГ,hou,3.5
2004,Poland,Медицина,med,2.9
2004,Poland,Освіта,edu,9.2
2004,Poland,Пенсії,old,4.4
2004,Poland,Соціальний захист,soc,4.2
2004,Slovakia,Безпека і оборона,def,2.9
2004,Slovakia,Дороги і ЖКГ,hou,0.6
2004,Slovakia,Медицина,med,1.7
2004,Slovakia,Освіта,edu,5.1
2004,Slovenia,Безпека і оборона,def,3.1
2004,Slovenia,Відсотки за борг,deb,1.8
2004,Slovenia,Державна служба,cle,4.1
2004,Slovenia,Дороги і ЖКГ,hou,2.8
2004,Slovenia,Медицина,med,4.4
2004,Slovenia,Освіта,edu,8.9
2004,Slovenia,Пенсії,old,3.2
2004,Slovenia,Соціальний захист,soc,4.9
2005,Cyprus,Безпека і оборона,def,3.6
2005,Cyprus,Відсотки за борг,deb,4.6
2005,Cyprus,Державна служба,cle,7
2005,Cyprus,Дороги і ЖКГ,hou,4.2
2005,Cyprus,Медицина,med,2.8
2005,Cyprus,Освіта,edu,5.8
2005,Cyprus,Пенсії,old,0.6
2005,Cyprus,Соціальний захист,soc,2.8
2005,Czech Republic,Безпека і оборона,def,3.6
2005,Czech Republic,Відсотки за борг,deb,1.2
2005,Czech Republic,Державна служба,cle,5
2005,Czech Republic,Дороги і ЖКГ,hou,6
2005,Czech Republic,Медицина,med,1.5
2005,Czech Republic,Освіта,edu,6.9
2005,Czech Republic,Пенсії,old,5.9
2005,Czech Republic,Соціальний захист,soc,5.9
2005,Estonia,Безпека і оборона,def,3.5
2005,Estonia,Відсотки за борг,deb,0.3
2005,Estonia,Державна служба,cle,2.8
2005,Estonia,Дороги і ЖКГ,hou,2.8
2005,Estonia,Медицина,med,2.9
2005,Estonia,Освіта,edu,6.2
2005,Estonia,Пенсії,old,5.5
2005,Estonia,Соціальний захист,soc,3.5
2005,Hungary,Безпека і оборона,def,3.4
2005,Hungary,Відсотки за борг,deb,4
2005,Hungary,Державна служба,cle,5.9
2005,Hungary,Дороги і ЖКГ,hou,3.6
2005,Hungary,Медицина,med,4.9
2005,Hungary,Освіта,edu,8
2005,Hungary,Пенсії,old,2.6
2005,Hungary,Соціальний захист,soc,6.9
2005,Latvia,Безпека і оборона,def,3.4
2005,Latvia,Дороги і ЖКГ,hou,1.6
2005,Latvia,Медицина,med,4.1
2005,Latvia,Освіта,edu,7.2
2005,Lithuania,Безпека і оборона,def,3.1
2005,Lithuania,Відсотки за борг,deb,0.8
2005,Lithuania,Державна служба,cle,4.3
2005,Lithuania,Дороги і ЖКГ,hou,2.4
2005,Lithuania,Медицина,med,3.6
2005,Lithuania,Освіта,edu,5.4
2005,Lithuania,Пенсії,old,0.9
2005,Lithuania,Соціальний захист,soc,1.6
2005,Malta,Безпека і оборона,def,2.2
2005,Malta,Відсотки за борг,deb,3.8
2005,Malta,Державна служба,cle,3.2
2005,Malta,Дороги і ЖКГ,hou,2.7
2005,Malta,Медицина,med,6
2005,Malta,Освіта,edu,5.4
2005,Malta,Пенсії,old,7
2005,Malta,Соціальний захист,soc,6.2
2005,Poland,Безпека і оборона,def,3.9
2005,Poland,Відсотки за борг,deb,2.5
2005,Poland,Державна служба,cle,3.5
2005,Poland,Дороги і ЖКГ,hou,3.9
2005,Poland,Медицина,med,3.1
2005,Poland,Освіта,edu,9.1
2005,Poland,Пенсії,old,4.4
2005,Poland,Соціальний захист,soc,4.3
2005,Slovakia,Безпека і оборона,def,2.7
2005,Slovakia,Дороги і ЖКГ,hou,0.8
2005,Slovakia,Медицина,med,1.6
2005,Slovakia,Освіта,edu,5.3
2005,Slovenia,Безпека і оборона,def,3
2005,Slovenia,Відсотки за борг,deb,1.6
2005,Slovenia,Державна служба,cle,4.4
2005,Slovenia,Дороги і ЖКГ,hou,2.6
2005,Slovenia,Медицина,med,4.9
2005,Slovenia,Освіта,edu,9.1
2005,Slovenia,Пенсії,old,3.2
2005,Slovenia,Соціальний захист,soc,5
2006,Cyprus,Безпека і оборона,def,3.7
2006,Cyprus,Відсотки за борг,deb,4.1
2006,Cyprus,Державна служба,cle,6.9
2006,Cyprus,Дороги і ЖКГ,hou,4.1
2006,Cyprus,Медицина,med,2.8
2006,Cyprus,Освіта,edu,5.8
2006,Cyprus,Пенсії,old,0.6
2006,Cyprus,Соціальний захист,soc,2.7
2006,Czech Republic,Безпека і оборона,def,3.2
2006,Czech Republic,Відсотки за борг,deb,1.1
2006,Czech Republic,Державна служба,cle,4.3
