"id","payer_edrpou","date","payer_name","payer_full_name","payer_head","payer_activity","payer_region","payer_region_code","payer_mfo","payer_bank","recipt_edrpou","recipt_name","spd_id","spd_label","mistrust","recipt_mfo","recipt_bank","payment_details","amount","spd_total","dp_total"
"3190086","00159367","42293","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за заправку картрiджа#,#дог.117/15 вiд13.10.2015р,акт над.посл.3082вiд13.10.2015р#,#без ПДВ#","185","14140","426775.94"
"3191685","00159367","42293","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за заправку картрiджа#,#дог.115/15 вiд12.10.2015р,акт над.посл.2859вiд12.10.2015р#,#без ПДВ#","175","14140","426775.94"
"5505393","00159367","42314","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за заправку картриджа#,#дог.142/15 вiд 05.11.2015р, акт над.посл.3155 вiд 05.11.2015р.#,#Без ПДВ#","235","14140","426775.94"
"6482822","00159367","42325","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за ремонт енергопостачан.комп'ютерiв#,#дог.158/15 вiд 16.11.2015р,акт 3288 вiд 16.11.2015р.#,#Без ПДВ#","180","14140","426775.94"
"8409216","00159367","42342","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Опл за запр картридж#,#дог.180/15вiд 01.12.2015р, акт3461 вiд 02.12.2015р#,#безПДВ#","295","14140","426775.94"
"10021327","00159367","42359","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за ремонт засобiв енергопостач ЕОМ,заправка картрiджа #,#дог.211/15 вiд 17.12.2015р,акт над.пос.3808 вiд 17.12.2015р#,#без ПДВ#","485","14140","426775.94"
"10019498","00159367","42359","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за заправку картрiджа#,#дог.201/15 вiд 16.12.2015р,актнад.посл.3729вiд 16.12.2015р.#,#без ПДВ#","3800","14140","426775.94"
"10020580","00159367","42359","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за картрiджи первопроходнi для лазер.принтеру#,#дог.209/15 вiд 17.12.2015р,вид.нак.1 вiд 17.12.2015р.#,#без ПДВ#","1610","14140","426775.94"
"10020583","00159367","42359","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за заправку картрiджа#,#дог.203/15 вiд 16.12.2015р,актнад.посл.3696вiд 16.12.2015р.#,#без ПДВ#","120","14140","426775.94"
"30715142","00159367","42621","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","1101100;2610;Оплата за заправку картриджiв,дог.96 вiд 10.08.2016р,акт над.посл.3146 вiд 10.08.2016р.Без ПДВ.","6870","14140","426775.94"
"5503714","00159367","42314","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Їжак В.О.","Їжак-304795","Їжак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за чернила Epson#,#дог.138/15 вiд03.11.2015р,вид.нак.1 вiд03.11.2015р.#,#Без ПДВ#","445","2350","426775.94"
"10020530","00159367","42359","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Їжак В.О.","Їжак-304795","Їжак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за чорнила Epson#,#дог.202/15 вiд16.12.2015р,вид.нак.1 вiд 16.12.2015р.#,#без ПДВ#","430","2350","426775.94"
"10019036","00159367","42359","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Їжак В.О.","Їжак-304795","Їжак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за кабельVGA ,USB ,контролер USB#,#дог.208/15 вiд 17.12.2015р,вид.нак.1 вiд 17.12.2015р.#,#без ПДВ#","615","2350","426775.94"
"24051801","00159367","42536","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Їжак В.О.","Їжак-304795","Їжак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","1101100;2610;Оплата за чорнила Epson, дог.61 вiд 09.06.2016р,нак. 030616/01 вiд 09.06.2016р.Без ПДВ.","860","2350","426775.94"
"20487187","00159367","42489","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ПП Калашник А.А.","Калашник-351005","Калашник","st","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","1101100;2610; Оплата за психофiзiологiчну експертизу за квiтень2016р,дог.23 вiд 13.04.2016р,акт 60416 вiд 13.04.2016р.Без ПДВ.","24675","74740","426775.94"
"9199383","00159367","42352","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Кiяновський Андрiй Миколайович","Кіяновська-304795","Кіяновський","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Опл за рем зас енергопост ЕОМ#,#дог.184/15вiд 07.12.2015р, акт188774 вiд 07.12.2015р#,#безПДВ#","225","13249.58","426775.94"
"30708928","00159367","42621","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Кiяновська О.А.","Кіяновська-304795","Кіяновська","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","1101100;2610;Опл.за комплект.до комп.техн.(мiкропроц,мат.плата,опер.пам,жорс.диск,монiтор,манiп,ковр,клавiат),уг99вiд22.08.2016р,нак197484вiд22.08.2016р.Без ПДВ","13024.58","13249.58","426775.94"
"28599143","00159367","42593","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Ляшенко С.I.","Ляшенко-351005","Ляшенко","none","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","1101100;2610;Оплата за технiч.обслуговуван. i ремонт вагiв, дог.52 вiд 27.05.2016р,акт 3 вiд19.07.2016р.Без ПДВ","3500","6000","426775.94"
"28595701","00159367","42593","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Ляшенко С.I.","Ляшенко-351005","Ляшенко","none","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","1101100;2610;Оплата за технiч.обслуговуван. i ремонт вагiв, дог.52 вiд 27.05.2016р,акт 2 вiд18.07.2016р.Без ПДВ","1300","6000","426775.94"
"28581254","00159367","42593","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Ляшенко С.I.","Ляшенко-351005","Ляшенко","none","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","1101100;2610;Оплата за технiч.обслуговуван. i ремонт вагiв, дог.52 вiд 27.05.2016р,акт 1 вiд18.07.2016р.Без ПДВ","1200","6000","426775.94"
"31559852","00159367","42632","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Маркiн Микола Альбертович","Маркін-321842","Маркін","none","321842","КИЇВСЬКЕ ГРУ ПРИВАТБАНКУ ","1101100;2610;Оплата за юридично-консульт.послуги за оформл.документiв для отрим.лiцензiї,дог.129 вiд 12.09.2016р,акт 1 вiд 13.09.2016р.БезПДВ.","6500","6500","426775.94"
